EVTNAME93123;6th South African Armoured Division;;;;;;;;;;;;;x
EVTDESC93123;The 6th South African Armoured Division was the second armoured division of the South African Army and was formed during World War II. Established in early 1943, it was based on a nucleus of men from the former 1st South African Infantry Division who had returned to South Africa after the Second Battle of El Alamein in late 1942. The division was initially transferred to Egypt for training, after which it served in the Allied campaign in Italy during 1944 and 1945.;;;;;;;;;;;;;x
EVTNAME93714;36th Infantry Division;;;;;;;;;;;;;x
EVTDESC93714;The division was formed in early 1943 as the Army component of the Combined Training Centre in India, in 1943 the 29th and 72nd British Brigades were allocated to this formation, although all the other units were Indian, at this time they were under command of the Indian Expeditionary Forces. The division took part in the Arakan Operations in 1944, in support of the 5th Indian Division in the jungle covered hill country around the Ngayadauk Pass and the Mayu Tunnels Area. In January 1945 the division crossed the Irrawaddy and came under the command of the Fourteenth Army and saw much of the hard fighting that led to the final operation that broke the last Japanese resistance in Burma. The division was returned to India in June 1945 and was disbanded.;;;;;;;;;;;;;x
EVTNAME93715;11th East Africa Division;;;;;;;;;;;;;x
EVTDESC93715;The division was formed in early 1943 and was composed of troops from Kenya, Uganda, Nyasaland, Tanganyika, Northern Rhodesia, and from the Belgian Congo. The 11th (East Africa) Division fought with the Fourteenth Army in Burma during the Burma Campaign. In the later part of 1944, the division pursued the Japanese retreating from Imphal down the Kabaw valley and established bridgeheads over the Chindwin River. In 1945, elements of the division played a part in the Battle of Meiktila and Mandalay.;;;;;;;;;;;;;x
EVTNAME93716;81st West Africa Division;;;;;;;;;;;;;x
EVTDESC93716;The inspiration for the division's formation came from General George Giffard, commander of the British Army's West Africa Command, who subsequently commanded India Command's Eastern Army, facing the Japanese army on the frontier between India and Burma. Giffard had wide experience with African troops, and was eager for them to participate in the war. One of the brigades (the 3rd West African) and several of the supporting units which formed the division had already seen action with the 11th (African) Division, against the Italians in East Africa. The division was established as the 1st (West African) Division on 1 March 1943. Three days later it was renamed the 81st (West African) Division, taking the next vacant number in the list of British infantry divisions. The division's badge was a spider, in black on a yellow circular background. This spider was a reference to Ananse, a cunning character in Ashanti mythology, and drawn so that when a soldier raised his weapon to fire, the spider would appear to be going forwards.;;;;;;;;;;;;;x
EVTNAME93717;82nd West Africa Division;;;;;;;;;;;;;x
EVTDESC93717;The division was formed from the existing 1st (West African) Infantry Brigade and 2nd (West African) Infantry Brigade, both of which had previously taken part in the East African Campaign in 1940 and 1941, and the freshly raised 4th (Nigerian) Infantry Brigade. The division's headquarters was created on 1 August 1943. It followed the 81st (West African) Division in the numbering sequence of British war-raised infantry divisions. The division's formation sign was crossed spears on a porter's headband, in black (sometimes white) on a yellow shield.;;;;;;;;;;;;;x
EVTNAME93718;11th African Division;;;;;;;;;;;;;x
EVTDESC93718;The division was formed on 24 July 1940 in East Africa. On 24 November, the division was re-designated as the British Army's 11th (African) Division. The division was composed primarily of West African and East African troops. It was disbanded on 23 November 1941 and its component units reassigned.;;;;;;;;;;;;;x
EVTNAME93719;12th African Division;;;;;;;;;;;;;x
EVTDESC93719;On 19 July 1940, the 2nd (African) Division was formed in Kenya, British East Africa. On 24 November, the division was redesignated as the British Army's 12th (African) Division. The division was disbanded in East Africa on 18 April 1943.;;;;;;;;;;;;;x
EVTNAME93723;70th Infantry Division;;;;;;;;;;;;;x
EVTDESC93723;The 70th Infantry Division was an infantry division of the British Army that fought during the Western Desert Campaign of the Second World War. What would become the 70th Division originated with the 7th Infantry Division, which was formed in 1938 to serve in the British Mandate of Palestine during the Arab Revolt. This division then transferred to Egypt at the outbreak of the Second World War and soon became the 6th Infantry Division, which went on to take part in the Battle of Crete and the Syria-Lebanon Campaign. On 10 October 1941, the 6th Division was re-created as the 70th Infantry Division in an attempt to deceive Axis intelligence concerning the strength of British forces in the Middle East.;;;;;;;;;;;;;x
EVTNAME93724;50th Indian Armoured Brigade;;;;;;;;;;;;;x
EVTDESC93724;The 50th Indian Tank Brigade was an armoured brigade formation of the Indian Army during World War II. It was formed for service in the Burma Campaign in 1941 from units of the British Army and the British Indian Army. The brigade's emblem was a white upraised fist and forearm on a black disc. The 50th Indian Tank Brigade was placed under the command of XV Corps in October 1944 as armoured support for the Arakan campaign and was located north of Maungdaw at Waybin in early December. Units of the brigade took part in actions at Buthidaung, the Mayu Peninsula, the Myebon Peninsula and Kangaw. The brigade was withdrawn from Arakan in February 1945.\n\nThis starts the event chain for 3 additional Indian Armoured Brigades.;;;;;;;;;;;;;x
EVTNAME93725;252nd Indian Armoured Brigade;;;;;;;;;;;;;x
EVTDESC93725;It was formed from the 3rd (Meerut) Cavalry Brigade when it was dispersed and reformed as the 2nd Indian Armoured Brigade in 1940, from July 1941 the 2nd Independent Armoured Brigade Group, and from December 1941, the 252nd Indian Independent Armoured Brigade Group. In January 1942 it was attached to the 10th Indian Infantry Division. Thereafter it served with the 31st Indian Armoured Division (from July 1942 redesignated the 252nd Indian Armoured Brigade) in the Middle East until being redesignated 2nd Indian Independent Armoured Brigade in December 1945.;;;;;;;;;;;;;x
EVTNAME93726;254th Indian Armoured Brigade;;;;;;;;;;;;;x
