YES;Yes;Oui;Ja;;Sí;;;;;;;;;x
NO;No;Non;Nein;;No;;;;;;;;;x
MODIFIER_NAVAL_CAPACITY;Naval Base Capacity;Capacité de la base navale;Flottenstützpunkt-Kapazität;;Capacidad de base naval;;;;;;;;;x
MODIFIER_AIR_CAPACITY;Airbase Capacity;Capacité de la base aérienne;Luftwaffenstützpunkt-Kapazität;;Capacidad de base aérea;;;;;;;;;x
MODIFIER_ALIGN_TOWARDS;Align towards;Aligner vers;Ausrichten nach;;Alinear hacia;;;;;;;;;x
MODIFIER_RADAR_LEVEL;Radar Level;Niveau radar;Radarstufe;;Nivel de radar;;;;;;;;;x
INTEL_NONE;No intel (0);Aucun rens;Keine Aufklärung;;Sin inteligencia;;;;;;;;;x
INTEL_STRUCTURES;Basic Intel (1);Rens élé.;Einfache Aufklärung;;Inteligencia básica;;;;;;;;;x
INTEL_UNITS;Basic Intel, divisions of unknown strength (2);Rens élé., divisions dont la puissance est inconnue;Einfache Aufklärung, Divisionen unbekannter Stärke;;Int. básica, divisiones de fuerza desconocida;;;;;;;;;x
INTEL_2;Intel lvl 3;Rens niv. 2;Aufklärungsstufe 2;;Nivel Int. 2;;;;;;;;;x
INTEL_3;Intel lvl 4;Rens niv. 3;Aufklärungsstufe 3;;Nivel Int. 3;;;;;;;;;x
INTEL_4;Intel lvl 5;Rens niv. 4;Aufklärungsstufe 4;;Nivel Int. 4;;;;;;;;;x
INTEL_5;Intel lvl 6;Rens niv. 5;Aufklärungsstufe 5;;Nivel Int. 5;;;;;;;;;x
INTEL_6;Intel lvl 7;Rens niv. 6;Aufklärungsstufe 6;;Nivel Int. 6;;;;;;;;;x
INTEL_7;Intel lvl 8;Rens niv. 7;Aufklärungsstufe 7;;Nivel Int. 7;;;;;;;;;x
MAX_INTEL_LEVEL;Full Intel (9);Rens complets;Volle Aufklärung;;Int. completa;;;;;;;;;x
April;April;Avril;April;Kwiecieñ;Abril;Aprile;Április;Duben;;;;;;x
August;August;Août;August;Sierpieñ;Agosto;Agosto;Augusztus;Srpen;;;;;;x
December;December;Décembre;Dezember;Grudzieñ;Diciembre;Dicembre;December;Prosinec;;;;;;x
February;February;Février;Februar;Luty;Febrero;Febbraio;Február;Únor;;;;;;x
Friday;Friday;Vendredi;Freitag;Pt;Viernes;Venerdì;Péntek;Pátek;;;;;;x
