##################################################;;;;;;;;;;;;;;x,
# Orders;;;;;;;;;;;;;;x,
##################################################;;;;;;;;;;;;;;x,
NO_ORDERS;No Order;Aucun ordre;Kein Befehl;;Sin órdenes;;;;;;;;;x,
SUPPORT_ATTACK;Support Attack;Attaque de soutien;Unterstützungsangriff;;Apoyar ataque;;;;;;;;;x,
SUPPORT_ATTACK_D;Support Attack on $WHERE$.;Attaque de soutien sur $WHERE$.;Unterstützungsangriff auf $WHERE$.;;Apoyar el ataque en $WHERE$.;;;;;;;;;x,
MOVE_ORDER;Move Order;Ordre de déplacement;Marschbefehl;;Orden de movimiento;;;;;;;;;x,
MOVE_ORDER_D;Move to $WHERE$.;Déplacement vers $WHERE$.;Marschbefehl auf $WHERE$.;;Desplazarse a $WHERE$.;;;;;;;;;x,
ORDER_SYNC_ARRIVAL;Synchronise Arrival;Synchroniser les arrivées;Ankunft synchronisieren;;Sincronizar llegada;;;;;;;;;x,
ORDER_STANCE;Stance;Comportement;Haltung;;Actitud;;;;;;;;;x,
ORDER_PRIO;Priority;Priorité;Priorität;;Prioridad;;;;;;;;;x,
STAN_PASSIVE;Passive;Passif;Passiv;;Pasiva;;;;;;;;;x,
STAN_DEFENSIVE;Defensive;Défensif;Defensiv;;Defensiva;;;;;;;;;x,
STAN_AGRESSIVE;Aggressive;Agressif;Agressiv;;Agresiva;;;;;;;;;x,
ORDER_JOIN_FLEET;Reinforce Fleet;Renforcer la flotte;Flotte verstärken;;Reforzar flota;;;;;;;;;x,
ORDER_JOIN_FLEET_S;Reinforcing $NAME$;Renforcement de $NAME$;$NAME$ wird verstärkt;;Reforzando $NAME$;;;;;;;;;x,
ORDER_PATROL;Patrol;Patrouiller;Patrouillieren;;Patrullar;;;;;;;;;x,
ORDER_PATROL_S;Patrol($ACTION$);Patrouiller($ACTION$);Patrouillieren($ACTION$);;Patrulla($ACTION$);;;;;;;;;x,
PATROL_SHADOW;Shadowing;Surveillance;Beschattet;;Rastreando;;;;;;;;;x,
PATROL_SEARCH;Searching;Recherche;Sucht;;Buscando;;;;;;;;;x,
ORDER_INTERCEPT;Intercept;Intercepter;Abfangen;;Interceptar;;;;;;;;;x,
ORDER_INTERCEPT_S;Intercept($STATE$);Intercepter($STATE$);Abfangen($STATE$);;Interceptar($STATE$);;;;;;;;;x,
INTERCEPT_WAITING;Waiting;En attente;Wartet;;Esperando;;;;;;;;;x,
INTERCEPT_ATTACK;Attacking;Attaque;Greift an;;Atacando;;;;;;;;;x,
INTERCEPT_RETURN;Returning;Retour;Kehrt zurück;;Regresando;;;;;;;;;x,
ORDER_SORTIE;Sortie;Sortie;Einsatz;;Salida;;;;;;;;;x,
ORDER_CONVOY_ESCORT_NTYPE;Escort $START$ - $END$;Escorter $START$ - $END$;$START$ - $END$ eskortieren;;Escoltar $START$ - $END$;;;;;;;;;,
