REMOVE_PROVINCE_FUEL_EFFECT;Lose §R$VALUE$§W fuel in §Y$PROVINCE$§W.\n;;Verliere §R$VALUE$§W Treibstoff in §Y$PROVINCE$§W.\n;;;;;;;;;;;x
ADD_PROVINCE_FUEL_EFFECT;Gain §G$VALUE$§W fuel in §Y$PROVINCE$§W.\n;;Erhalte §G$VALUE$§W Treibstoff in §Y$PROVINCE$§W.\n;;;;;;;;;;;x
ADD_FUEL_EFFECT;Gain §G$VALUE$§W fuel§W.\n;;Erhalte §G$VALUE$§W Treibstoff§W.\n;;;;;;;;;;;x
REMOVE_FUEL_EFFECT;Lose §R$VALUE$§W fuel§W.\n;;Verliere §R$VALUE$§W Treibstoff§W.\n;;;;;;;;;;;x
ADD_OFFICERS_EFFECT;§Y$COUNTRY$§W gains §G$VALUE$§W officers§W.\n;;§Y$COUNTRY$§W erhält §G$VALUE$§W Offiziere§W.\n;;;;;;;;;;;x
REMOVE_OFFICERS_EFFECT;§Y$COUNTRY$§W loses §R$VALUE$§W officers§W.\n;;§Y$COUNTRY$§W verliert §R$VALUE$§W Offiziere§W.\n;;;;;;;;;;;x
EVTNAME524;Danish Surrender to Germany;;Dänische Kapitulation an Deutschland;;;;;;;;;;;x
EVTDESC524;When German forces crossed the Danish border on 9 April 1940, they encountered little organised resistance. Faced with an explicit threat of aerial bombardment of Copenhagen by the Germans, the Danish government capitulated that same day.;;Als die deutschen Truppen am 9. April 1940 die dänische Grenze überschritten fanden sie wenig organisierten Widerstand. Die dänische Regierung kapitulierte am selben Tag, nachdem sie die explizite Drohung eines Luftbombardements Kopenhagens erhalten hatte.;;;;;;;;;;;x
EVTOPTA524;We need to save our capital!;;Wir müssen unsere Hauptstadt schützen!;;;;;;;;;;;x
EVTNAME525;Yugoslavian Surrender;;Yuguslawische Kapitulation;;;;;;;;;;;x
EVTDESC525;When the Yugoslavian Regent, Prince Paul, announced on 25 March 1941 that he would sign the Tripartite Pact and join the Axis side in the war, anti-Axis factions in Yugoslavia were outraged and staged a coup d'état two days later. Hitler took the coup as a personal insult and resolved upon a conquest of the country, although preparations for Operation Barbarossa were already underway at this time. Less than two weeks later, on 6 April 1941, German, Italian, and Hungarian forces invaded Yugoslavia. The campaign advanced swiftly, and Yugoslavia officially surrendered on 17 April 1941.;;Als der yugoslawische Regent Prinz Paul am 25. März 1941 bekannt gab, dass er den Dreiparteien Pakt unterschreiben wollte und dem Krieg auf Seiten der Axismächte beitreten wollte, waren die Anti-axis Gruppierungen empört und vollführten zwei Tage später einen Staatsstreich. Hitler nam den Coup als persönliche Beleidigung und schwor das Land zu erobern, obwohl die Vorbereitungen für das Unternehmen Barbarossa bereits im vollen Gange waren. Keine zwei Wochen später, am 6. April 1941, marschierten deutsche, italienische und ungarische Truppen in Yugoslawien ein. Der Feldzug war erfolgreich und Yugoslawien kapitulierte offiziell am 17. April 1941.;;;;;;;;;;;x
EVTOPTA525;Perhaps we can resist the Fascists in other ways;;Vielleicht können wir den Faschisten auf anderen Wegen Widerstand leisten;;;;;;;;;;;x
EVTNAME2910;Fall of Paris;;Fall von Paris;;;;;;;;;;;x
EVTDESC2910;The German conquest of Paris has prompted a number of French leaders to ask whether continued resistance is in the best interest of the nation.;;Nach dem Fall von Paris überlegten einige französische Regierungsmitglieder, ob es nicht besser wäre den Widerstand gegen die Deutschen Truppen aufzugeben.;;;;;;;;;;;x
EVTOPTA2910;Perhaps it is time to make peace;;Vielleicht ist es an der Zeit Frieden zu schliessen;;;;;;;;;;;x
EVTNAME1521;Romania Asks to Join the Axis;;Rumänien bittet darum, den Achenmächten beizutreten.;;;;;;;;;;;x
EVTDESC1521;In the wake of Soviet bullying over Bessarabia, the Romanian government has asked to join our side.;;Nach den sowjetischen Übergriffen nach Bessarabien hat sich die rumänische Regierung entschlossen den Achsenmächten beizutreten.;;;;;;;;;;;x
EVTOPTA1521;Welcome aboard!;;Willkommen an Bord!;;;;;;;;;;;x
EVTOPTB1521;Who needs them?;;Wer braucht die schon?;;;;;;;;;;;x
EVTDESC2911;With France back in control of Paris it's time to end the puppet regime of Vichy;;Mit Paris wieder in französischer Hand, ist es an der Zeit das Marionetten-Regime von Vichy zu beenden.;;;;;;;;;;;
EVTNAME518;There's no point in fighting anymore!;;Es hat keinen Sinn mehr zu kämpfen!;;;;;;;;;;;x
EVTDESC518;It seems we have underestimated the Allies. Now we are defeated and will rejoin Free France again.;;Es scheint als ob wir die Allierten unterschätzt haben. Wir sind besiegt und werden uns wieder dem Freien Frankreich anschliessen.;;;;;;;;;;;x
EVTOPTA518;Reunited at last!;;Endlich wieder vereinigt!;;;;;;;;;;;x
disorganized_officer_corps;Disorganized officer corps;;Disorganized Offizierskorps;;;;;;;;;;;x
