# Tech Names;;;;;;;;;;;;;;x
AST_smallarms_technology_0;SMLE Enfield Mk I;;;;;;;;;;;;;x
AST_smallarms_technology_1;Lewis Gun Mk I;;;;;;;;;;;;;x
AST_smallarms_technology_2;Charlton Automatic Rifle Mk I;;;;;;;;;;;;;x
AST_smallarms_technology_3;Austen Gun Mk I;;;;;;;;;;;;;x
AST_smallarms_technology_4;Owen Gun Mk I;;;;;;;;;;;;;x
AST_smallarms_technology_5;SMLE Mk III;;;;;;;;;;;;;x
AST_smallarms_technology_6;De Lisle Commando carbine;;;;;;;;;;;;;x
AST_smallarms_technology_7;Sterling SMG;;;;;;;;;;;;;x
AST_infantry_support_0;0.303 Vickers Gun;;;;;;;;;;;;;x
AST_infantry_support_1;SMBL 2in Mortar;;;;;;;;;;;;;x
AST_infantry_support_2;ML 3in Mortar Mk I;;;;;;;;;;;;;x
AST_infantry_support_3;Flamethrower, Portable, No 2;;;;;;;;;;;;;x
AST_infantry_support_4;ML 3in Mortar Mk II;;;;;;;;;;;;;x
AST_infantry_support_5;0.5 Vickers Gun Mk II ;;;;;;;;;;;;;x
AST_infantry_support_6;Vickers Gas Operated MG;;;;;;;;;;;;;x
AST_infantry_support_7;L16 81mm Mortar;;;;;;;;;;;;;x
AST_infantry_guns_0;Ordnance QF 18 pounder Mk II;;;;;;;;;;;;;x
AST_infantry_guns_1;Ordnance QF 18 pounder Mk IV;;;;;;;;;;;;;x
AST_infantry_guns_2;QF 4.5 inch Howitzer;;;;;;;;;;;;;x
AST_infantry_guns_3;Ordnance QF 25 pounder Mk I;;;;;;;;;;;;;x
AST_infantry_guns_4;BL 4.5 inch Medium Field Gun;;;;;;;;;;;;;x
AST_infantry_guns_5;Ordnance QF 25 pounder Mk II;;;;;;;;;;;;;x
AST_infantry_guns_6;Ordnance QF 25 pounder Mk III;;;;;;;;;;;;;x
AST_infantry_guns_7;L5 Pack Howitzer;;;;;;;;;;;;;x
AST_infantry_at_0;Rifle, Anti-tank, .55in, Boys;;;;;;;;;;;;;x
AST_infantry_at_1;25 mm Hotchkiss, Mark I;;;;;;;;;;;;;x
AST_infantry_at_2;Ordnance QF 2 pounder;;;;;;;;;;;;;x
AST_infantry_at_3;Grenade, Rifle No. 68 /AT ;;;;;;;;;;;;;x
AST_infantry_at_4;Projector, Infantry, Anti-Tank;;;;;;;;;;;;;x
AST_infantry_at_5;Grenade, Gammon No.82;;;;;;;;;;;;;x
AST_infantry_at_6;Ordnance QF 6 pounder;;;;;;;;;;;;;x
AST_militia_smallarms_0;United States Rifle, cal .30;;;;;;;;;;;;;x
AST_militia_smallarms_1;Rifle, .303 Blueprint 1914;;;;;;;;;;;;;x
AST_militia_smallarms_2;Lewis Gun Mk I;;;;;;;;;;;;;x
AST_militia_smallarms_3;SMLE Rifle Mk I;;;;;;;;;;;;;x
AST_militia_support_0;No. 76 Special Incendiary Grenade;;;;;;;;;;;;;x
