##################################################;########;;;;;;;;;;;;;x
##################################################;########;;;;;;;;;;;;;x
# Abilities;English;;;;;;;;;;;;;x
##################################################;########;;;;;;;;;;;;;x
MAX_STRENGTH;Max Strength;;;;;;;;;;;;;x
DEFAULT_ORG;Organisation;;;;;;;;;;;;;x
DEFAULT_MORALE;Morale;;;;;;;;;;;;;x
BUILD_COST_IC;IC Build Cost;;;;;;;;;;;;;x
BUILD_COST_MP;Manpower Cost;;;;;;;;;;;;;x
BUILD_TIME;Build Time;;;;;;;;;;;;;x
MAXIMUM_SPEED;Max Speed;;;;;;;;;;;;;x
TRANSPORT_WEIGHT;Weight;;;;;;;;;;;;;x
SUPPLY_CONSUMPTION;Supply Consumption;;;;;;;;;;;;;x
FUEL_CONSUMPTION;Fuel Consumption;;;;;;;;;;;;;x
DEFENSIVENESS;Defensiveness;;;;;;;;;;;;;x
TOUGHNESS;Toughness;;;;;;;;;;;;;x
SOFTNESS;Softness;;;;;;;;;;;;;x
AIR_DEFENCE;Air Defence;;;;;;;;;;;;;x
SUPPRESSION;Suppression;;;;;;;;;;;;;x
SOFT_ATTACK;Soft Attack;;;;;;;;;;;;;x
HARD_ATTACK;Hard Attack;;;;;;;;;;;;;x
AIR_ATTACK;Air Attack;;;;;;;;;;;;;x
COMBAT_WIDTH;Combat Width;;;;;;;;;;;;;x
GDE_FROM_TECH;Ground Defence Efficiency;;;;;;;;;;;;;x
DIGIN_FROM_TECH;Dig-In Cap;;;;;;;;;;;;;x
ATTACK_DELAY_FROM_TECH;Delay between attacks reduced with;;;;;;;;;;;;;x
AD_HOURS;hours;;;;;;;;;;;;;x
DIVISION_SIZE_FROM_TECH;Allowed Brigades in Division;;;;;;;;;;;;;x
SUPPLY_TRANSFER_COST_TECH;Supply Transfer Cost;;;;;;;;;;;;;x
SUPPLY_THROUGHPUT_TECH;Supply Throughput;;;;;;;;;;;;;x
REFINERY_EFFICIENCY_TECH;Refining Efficiency;;;;;;;;;;;;;x
RADAR_EFFICIENCY_TECH;Radar Efficiency;;;;;;;;;;;;;x
RADIO_STRENGTH_TECH;Radio Strength;;;;;;;;;;;;;x
DECRYPTION_TECH;Decryption Ability;;;;;;;;;;;;;x
ENCRYPTION_TECH;Encryption Ability;;;;;;;;;;;;;x
INTEL_OP_US_TECH;Intel ops;;;;;;;;;;;;;x
INTEL_OP_THEM_TECH;Counterintel ops;;;;;;;;;;;;;x
CONVOY_COST_TECH;Convoy Build Cost;;;;;;;;;;;;;x
CONVOY_TIME_TECH;Convoy Build Time;;;;;;;;;;;;;x
ESCORT_COST_TECH;Escort Build Cost;;;;;;;;;;;;;x
ESCORT_TIME_TECH;Escort Build Time;;;;;;;;;;;;;x
UNIT_COOP_TECH;Unit Cooperation;;;;;;;;;;;;;x
COMBINED_ARMS_TECH;Combined Arms Bonus;;;;;;;;;;;;;x
REINFORCE_CHANCE_TECH;Combat Reinforcement Chance;;;;;;;;;;;;;x
ATTACK_MOVEMENT_SPEED_TECH;Attack Movement;;;;;;;;;;;;;x
ENABLE_UNIT_TECH;Allow construction of;;;;;;;;;;;;;x
ENABLE_BUILDING_TECH;Allow construction of;;;;;;;;;;;;;x
TRANSPORT_CAPABILITY;Transport Capability;;;;;;;;;;;;;x
RANGE;Range;;;;;;;;;;;;;x
DISTANCE;Distance;;;;;;;;;;;;;x
SURFACE_DETECTION;Surface Detection;;;;;;;;;;;;;x
AIR_DETECTION;Air Detection;;;;;;;;;;;;;x
SUB_DETECTION;Sub Detection;;;;;;;;;;;;;x
VISIBILITY;Visibility;;;;;;;;;;;;;x
SEA_DEFENCE;Sea Defence;;;;;;;;;;;;;x
CONVOY_ATTACK;Convoy Attack;;;;;;;;;;;;;x
SEA_ATTACK;Sea Attack;;;;;;;;;;;;;x
SUB_ATTACK;Sub Attack;;;;;;;;;;;;;x
SHORE_BOMBARDMENT;Shore Bombardment;;;;;;;;;;;;;x
SURFACE_DEFENCE;Surface Defence;;;;;;;;;;;;;x
STRATEGIC_ATTACK;Strategic Attack;;;;;;;;;;;;;x
RADIO_STRENGTH;Radio Strength;;;;;;;;;;;;;x
HULL;Hull;;;;;;;;;;;;;x
POSITIONING;Positioning;;;;;;;;;;;;;x
ALLOW_ESCORTS_TECH;Allows construction of convoy escorts;;;;;;;;;;;;;x
ESCORT_EFFICIENCY_TECH;Escort Efficiency;;;;;;;;;;;;;x
TARGET_CHOICE_TECH;Target Choice;;;;;;;;;;;;;x
TARGET_CHANCE_TECH;Target Chance;;;;;;;;;;;;;x
