UNITY_IS_ATLEAST_TRIGGER;Unity is at least 即$VALUE$劬.;;;;;;;;;;;;;;x
AMOUNT_OF_DIVISIONS_IS_ATLEAST_TRIGGER;即$COUNTRY$劬 Number of divisions is at least 即$VALUE$劬.;;;;;;;;;;;;;;x
IDEOLOGY_IS_EQUAL_TO_TRIGGER;Ruling party is 即$NAME$劬.;;;;;;;;;;;;;;x
MINISTER_ALIVE_TRIGGER;即$NAME$劬 is alive劬.;;;;;;;;;;;;;;x
MONEY_IS_ATLEAST_TRIGGER;Money is at least 即$VALUE$劬.;;;;;;;;;;;;;;x
THREAT_IS_ATLEAST_WITH_TRIGGER;即$COUNTRY$劬 threat with 即$TARGET_COUNTRY$劬 is at least 即$VALUE$劬.;;;;;;;;;;;;;;x
ENERGY_IS_ATLEAST_TRIGGER;Energy is at least 即$VALUE$劬.;;;;;;;;;;;;;;x
CRUDE_OIL_IS_ATLEAST_TRIGGER;Crude oil is at least 即$VALUE$劬.;;;;;;;;;;;;;;x
RARE_MATERIALS_IS_ATLEAST_TRIGGER;Rare materials is at least 即$VALUE$劬.;;;;;;;;;;;;;;x
METAL_IS_ATLEAST_TRIGGER;Metal is at least 即$VALUE$劬.;;;;;;;;;;;;;;x
SUPPLIES_IS_ATLEAST_TRIGGER;Supplies are at least 即$VALUE$劬.;;;;;;;;;;;;;;x
MILITARY_ACCESS_WITH_TRIGGER;即$COUNTRY$劬 has military access with 即$TARGET_COUNTRY$劬.;;;;;;;;;;;;;;x
NON_AGGRESSION_PACT_WITH_TRIGGER;即$COUNTRY$劬 has non-aggression pact with 即$TARGET_COUNTRY$劬.;;;;;;;;;;;;;;x
LOST_NATIONAL_PROVINCES_ATLEAST_TRIGGER;即$COUNTRY$劬 has lost at least 即$VALUE$%劬 national provinces 劬.;;;;;;;;;;;;;;x
LOST_IC_IS_ATLEAST_TRIGGER;即$COUNTRY$劬 has lost at least 即$VALUE$%劬 IC 劬.;;;;;;;;;;;;;;x
GOVERNMENT_POSITION_TRIGGER;即$NAME$劬 is 即$POSITION$劬.;;;;;;;;;;;;;;x
GOVERNMENT_POSITION_NOT_TRIGGER;即$NAME$劬 is not 即$POSITION$劬.;;;;;;;;;;;;;;x
IS_GUARANTEEING_TRIGGER;即$COUNTRY$劬 Is guaranteeing 即$TARGET_COUNTRY$劬.;;;;;;;;;;;;;;x
DISSENT_IS_ATLEAST_TRIGGER;Dissent is at least 即$VALUE$劬.;;;;;;;;;;;;;;x
