xxxx;;;;;;;;;;;;;;x
WAREXHAUSTION_EFFECT;$DIRECTION$ $VALUE$ war exhaustion.\n;$DIRECTION$ $VALUE$ en épuisement de guerre.\n;$DIRECTION$ $VALUE$ Kriegsmüdigkeit.\n;$DIRECTION$ $VALUE$ wyczerpania wojn¹.\n;$DIRECTION$ $VALUE$ agotamiento bélico.\n;Esaurimento di guerra: $DIRECTION$ $VALUE$.\n;$DIRECTION$ $VALUE$ háborús kimerültség.\n;$DIRECTION$ $VALUE$ váleèného vyèerpání.\n;;;;;;x
ARMYTRADITION_EFFECT;$DIRECTION$ $VALUE$ army tradition.\n;$DIRECTION$ $VALUE$ en tradition militaire.\n;$DIRECTION$ $VALUE$ Armeetradition.\n;$DIRECTION$ $VALUE$ tradycji wojskowej.\n;$DIRECTION$ $VALUE$ tradición militar.\n;Tradizione esercito: $DIRECTION$ $VALUE$.\n;$DIRECTION$ $VALUE$ hadi szokás.\n;$DIRECTION$ $VALUE$ vojenské tradice.\n;;;;;;x
NAVYTRADITION_EFFECT;$DIRECTION$ $VALUE$ navy tradition.\n;$DIRECTION$ $VALUE$ en tradition navale.\n;$DIRECTION$ $VALUE$ Flottentradition.\n;$DIRECTION$ $VALUE$ tradycji morskiej.\n;$DIRECTION$ $VALUE$ tradición marina.\n;Tradizione navale: $DIRECTION$ $VALUE$.\n;$DIRECTION$ $VALUE$ hadiflotta tradíció.\n;$DIRECTION$ $VALUE$ námoøní tradice.\n;;;;;;x
BADBOY_EFFECT;$DIRECTION$ $VALUE$ reputation.\n;$DIRECTION$ $VALUE$ en réputation.\n;$DIRECTION$ $VALUE$ Aggressionswert.\n;$DIRECTION$ $VALUE$ reputacji.\n;$DIRECTION$ $VALUE$ reputación.\n;Bad boy: $DIRECTION$ $VALUE$.\n;$DIRECTION$ $VALUE$ rosszfiú.\n;$DIRECTION$ $VALUE$ reputace.\n;;;;;;x
CAPITAL_CHANGE;§Y$NEW$§W will become the new capital.\n;§Y$NEW$§W deviendra la nouvelle capitale.\n;$NEW$ wird zur Hauptstadt.\n;$NEW$ bêdzie odt¹d now¹ stolic¹.\n;§Y$NEW$§W se convertirá en la nueva capital.\n;$NEW$ diventerà la capitale.\n;$NEW$ fõvárossá válik.\n;$NEW$ se stane novým hlavním mìstem.\n;;;;;;x
NEW_CORE_EFFECT;Gain core on §Y$NEW$§W.\n;Prend le contrôle de §Y$NEW$§W.\n;Neue Kernprovinz in $NEW$.\n;Zyskujesz prowincjê narodow¹: $NEW$.\n;Gana núcleo en §Y$NEW$§W.\n;Ottieni una provincia nazionale da: $NEW$.\n;Alapvetõ nyereség a következõn: $NEW$.\n;Získat støed na $NEW$.\n;;;;;;x
LOSE_CORE_EFFECT;Lose core on §Y$LOSE$§W.\n;Perd le contrôle de §Y$LOSE$§W.\n;Kernprovinz in $LOSE$ verloren.\n;Tracisz prowincjê narodow¹: $LOSE$.\n;Pierde núcleo en §Y$LOSE$§W.\n;Perdi una provincia nazionale nei confronti di: $LOSE$.\n;Alapvetõ veszteség a következõn: $LOSE$.\n;Ztratit støed na $LOSE$.\n;;;;;;x
GAIN_CB;Gain casus-belli on §Y$WHO$§W.\n;Obtient un casus belli sur $WHO$.\n;Kriegsgrund gegen $WHO$ erhalten.\n;Zyskuje casus belli wzglêdem: $WHO$.\n;Gana casus belli sobre §Y$WHO$§W.\n;Ottieni casus belli per: $WHO$.\n;Casus Belli a következõvel szemben: $WHO$.\n;Získat záminku k válce s $WHO$.\n;;;;;;x
REV_GAIN_CB;§Y$ACTIVE$§W gains a casus-belli on §Y$PASSIVE$§W.\n;§Y$ACTIVE$§W obtient un casus belli sur §Y$PASSIVE$§W.\n;$ACTIVE$ erhält einen Kriegsgrund gegen $PASSIVE$.\n;$ACTIVE$ zyskuje casus belli wobec: $PASSIVE$.\n;§Y$ACTIVE$§W gana un casus belli sobre §Y$PASSIVE$§W.\n;$ACTIVE$ ottiene un casus belli per: $PASSIVE$.\n;$ACTIVE$ háborús okot talált $PASSIVE$ nemzetével szemben.\n;$ACTIVE$ získává záminku k válce s $PASSIVE$.\n;;;;;;x
RELATION_CHANGE;Relation between §Y$ACTIVE$§W and §Y$PASSIVE$§W changed by $MUCH$.\n;La relation entre §Y$ACTIVE$§W et §Y$PASSIVE$§W a évolué de $MUCH$.\n;Die Beziehung zwischen $ACTIVE$ und $PASSIVE$ änderten sich um $MUCH$.\n;Stosunek pomiêdzy $ACTIVE$ i $PASSIVE$ zmieni³ siê o $MUCH$.\n;La relación entre §Y$ACTIVE$§W y §Y$PASSIVE$§W cambia en $MUCH$.\n;La relazione tra $ACTIVE$ e $PASSIVE$ è cambiata di $MUCH$.\n;A kapcsolat $ACTIVE$ és $PASSIVE$ között $MUCH$ változott.\n;Vztah mezi $ACTIVE$ a $PASSIVE$ se zmìnil o $MUCH$.\n;;;;;;x
ADD_IDEA;Gain a §Y$NEW$§W as a new idea.\n;§Y$NEW$§W est une nouvelle idée.\n;$NEW$ Idee.\n;$NEW$ - zyskana doktryna.\n;Gana §Y$NEW$§W como nueva idea.\n;Ottieni un'idea per: $NEW$.\n;$NEW$ szerzett egy új ötletet.\n;Získat $NEW$ ideu.\n;;;;;;x
REM_IDEA;Lose a §Y$LOSE$§W as an idea.\n;§Y$LOSE$§W ne fait plus partie de vos idées.\n;$LOSE$ Idee verlieren.\n;$LOSE$ - stracona doktryna.\n;Pierde §Y$LOSE$§W como idea.\n;Perdi un'idea per: $LOSE$.\n;$LOSE$ elveszített egy ötletet.\n;Ztratit ideu $LOSE$.\n;;;;;;x
GOV_CHANGE;The type of government changes to §Y$GOV$§W.\n;Le type de gouvernement est devenu §Y$GOV$§W.\n;Die Regierungsform wurde zu $GOV$ geändert.\n;Forma rz¹dów zmieni³a siê na: $GOV$.\n;El tipo de gobierno cambia a §Y$GOV$§W.\n;La forma di governo è diventata: $GOV$.\n;Az államforma megváltozott, mostantól már $GOV$.\n;Typ vlády se zmìnil na $GOV$.\n;;;;;;x
CHANGE_TAG;Become §Y$NEW$§W.\n;Devenir §Y$NEW$§W.\n;$NEW$ werden.\n;Nowy status: $NEW$.\n;Se convierte en §Y$NEW$§W.\n;Diventa: $NEW$.\n;$NEW$ lett.\n;Stát se $NEW$.\n;;;;;;x
CREATE_REVOLT;§R$SIZE$§W regiment(s) rises up in revolt in §Y$WHERE$§W.\n;§R$SIZE$§W régiment(s) se révoltent à §Y$WHERE$§W.\n;$SIZE$ Regimenter revoltieren in $WHERE$\n;$SIZE$ pu³k(-ów) wznieca bunt w: $WHERE$.\n;§R$SIZE$§W regimiento(s) inicia(n) una revuelta en §Y$WHERE$§W.\n;$WHERE$: $SIZE$ reggimenti in rivolta\n;$SIZE$ hadsereg fellázadt a $WHERE$ -i forradalomban\n;$SIZE$ regimentù povstalo v $WHERE$.\n;;;;;;x
BECOME;become;devenir;wird;stanie siê;se convierte;diventa;lesz;bude;;;;;;x
NOLONGER;no longer be;cesser d'être;ist nicht länger;nie bêdzie d³u¿ej;deja de ser;cessa di essere;már nem az;už nebude;;;;;;x
PROV_MANPOWER;$DIRECTION$ $VALUE$ manpower in $WHERE$.\n;$DIRECTION$ $VALUE$ en main-d'œuvre à $WHERE$.\n;$DIRECTION$ $VALUE$ Soldatenzahl in $WHERE$.\n;$DIRECTION$ $VALUE$ si³y ludzkiej w $WHERE$.\n;$DIRECTION$ $VALUE$ recursos humanos en $WHERE$.\n;$WHERE$: potenziale di reclutamento $DIRECTION$ $VALUE$/a .\n;$WHERE$ munkaereje $DIRECTION$ $VALUE$.\n;$DIRECTION$ $VALUE$ lidských zdrojù v $WHERE$.\n;;;;;;x
ADD_BUILDING;Gain §Y$NAME$§W in §Y$WHERE$§W.\n;Obtention de §Y$NAME$§W à §Y$WHERE$§W.\n;$NAME$ in $WHERE$ erhalten.\n;$NAME$ w $WHERE$ - zyskane.\n;Gana §G$NAME$§W en §Y$WHERE$§W.\n;$WHERE$: ottieni $NAME$.\n;$WHERE$ $NAME$-t kapott.\n;Získá $NAME$ v $WHERE$.\n;;;;;;x
REM_BUILDING;Lose §R$NAME$§W in §Y$WHERE$§W.\n;Perte de §R$NAME$§W à §Y$WHERE$§W.\n;$NAME$ in $WHERE$ verlieren.\n;$NAME$ w $WHERE$ - stracone.\n;Pierde §R$NAME$§W in §Y$WHERE$§W.\n;$WHERE$: perdi $NAME$.\n;$WHERE$ $NAME$-t veszített.\n;Ztratí $NAME$ v $WHERE$.\n;;;;;;x
SECEDE_PROVINCE;Cede §Y$WHERE$§W to §Y$WHO$§W.\n;Cession de §Y$WHERE$§W à §Y$WHO$§W.\n;Abfall von $WHERE$ nach $WHO$.\n;Zrzekasz siê $WHERE$ na rzecz $WHO$.\n;Cede §Y$WHERE$§W a §Y$WHO$§W.\n;$WHERE$: cedi a $WHO$.\n;$WHERE$ $WHO$ országhoz kerül.\n;Odtrhnout $WHERE$ od $WHO$.\n;;;;;;x
INHERIT;Inherit §Y$WHO$§W.\n;Héritage de §Y$WHO$§W.\n;$WHO$ erben.\n;$WHO$ - dziedziczenie.\n;Hereda §Y$WHO$§W.\n;Eredita $WHO$.\n;$WHO$ örökli.\n;Zdìdit $WHO$.\n;;;;;;x
RELEASE;Release §Y$WHO$§W as a independent state.\n;Libération de §Y$WHO$§W qui deviendra un état indépendant.\n;$WHO$ entlassen.\n;$WHO$ - uwolnienie.\n;Libera a §Y$WHO$§W como estado independiente.\n;Libera $WHO$.\n;$WHO$ elengedése.\n;Propustit $WHO$.\n;;;;;;x
RELATION_CHANGE_SHORT;Relation with §Y$PASSIVE$§W changed by $MUCH$.\n;La relation avec §Y$PASSIVE$§W a évolué de $MUCH$.\n;Beziehung mit §Y$PASSIVE$§W änderte sich um $MUCH$.\n;;La relación con §Y$PASSIVE$§W cambia en $MUCH$.\n;;;;;;;;;x
