tut_menu_1;Basic Concepts;;;;;;;;;;;;;x
tut_menu_1_description;You will be guided through the basics concepts of Hearts of Iron 3 by an expert;;;;;;;;;;;;;x
tut_menu_2;Diplomacy;;;;;;;;;;;;;x
tut_menu_2_description;Want to win friends and influence people, or just start wars? Our expert is on hand to help you.;;;;;;;;;;;;;x
tut_menu_3;Production;;;;;;;;;;;;;x
tut_menu_3_description;The sinews of war, very important to know and our expert is ready to guide you.;;;;;;;;;;;;;x
tut_menu_4;Technology;;;;;;;;;;;;;x
tut_menu_4_description;Where a war can be won and lost. God is on the side of the best battalions, not the big ones.;;;;;;;;;;;;;x
tut_menu_5;Politics;;;;;;;;;;;;;x
tut_menu_5_description;If you want to win wars, never forget about the home front. Our expert understands this.;;;;;;;;;;;;;x
tut_menu_6;Intelligence;;;;;;;;;;;;;x
tut_menu_6_description;Knowledge is power! Don't forget this.;;;;;;;;;;;;;x
tut_1a_1;Welcome to Hearts of Iron III!;;;;;;;;;;;;;x
tut_1a_2;War is coming and you must be prepared for what comes, before you can guide your country to success we have arranged for some guidance from an expert. You are taken outside to meet a small man with a rather odd looking moustache, he is painting what can only be described as a particularly bad painting. He turns and stares at you in an almost manic manner and then begins a half hour rambling tirade about various subjects. You begin to suspect that the man might be mad. However he then begins to settle down and begins to explain what is going on.\n\n”To lead a nation to dominance you must have the facts at your finger tips, information is power. We must first master these if our will is to triumph. I will take you through each in turn, as soon as you are ready to continue hit the okay key. If you feel you are foolish enough to ignore my genius, then do it your way, I won't try to stop you...much”;;;;;;;;;;;;;x
tut_1a_3;Basic Concepts;;;;;;;;;;;;;x
tut_1a_4;The strange man starts to pace up and down, up and down, arms waving, voice rising and he speaks, yet to be honest it isn’t really worth getting worked up about. Is it?\n”- What kind of game is this? Hearts of Iron III is a Pausable Realtime Grand Strategy game.\nBy Grand Strategy we mean that you are in charge of the 'big picture', your arena is the world and your pieces are divisions and armies. Pausable means that the game runs in realtime but you can at any time pause the game by pressing the pause key (circled), the Pause/Break-key or the Space key.\n-Who are you? You take on the role of the leader of a nation during the late 1930s and the 1940s. Your job will be to guide your nation through this turbulent era and make your faction come out on top by military, diplomatic and industrial means.\n- How do you win? There is no predetermined set of victory conditions, what you wish to achieve is entirely up to you. You will of course take on the role of Germany and lead the Axis faction to world conquest, but you might chose to pursue some sort of weak goal like to maintain the neutrality and independence of your small nation among hungry superpowers? You will find that there are victory points on the map (see the manual for more on victory points), these represent the value of a certain province and can be used to see how well you are doing compared to others.”;;;;;;;;;;;;;x
tut_1a_5;Main window;;;;;;;;;;;;;x
