As Reseves;As Reserves;En réserve;Als Reserven;;Como reservas;;;;;;;;;x
Add Cags;Add Cags;Ajouter des groupes de porte-avions;CAG hinzufügen;;Añadir GAE;;;;;;;;;x
DIPRELCH_DEPENDENCY;Puppet-Master Relationship;Relations Fantoche-Maître;Beziehung Marionette-Herr;;Relación títere/amo;;;;;;;;;x
RELATION_CAPPED;Can not go over this relation with gradual improvements.;Impossibilité de dépasser cette relation avec des améliorations graduelles.;Diese Beziehung kann auch mit allmählichen Verbesserungen nicht weiter gebracht werden.;;No se puede cambiar esta relación con mejoras graduales.;;;;;;;;;x
STOPALIGNTITLE;Stop aligning towards faction;Arrêter de s’aligner sur la faction;Ausrichtung an Fraktion stoppen;;Dejar de alinearse con la facción;;;;;;;;;x
STOPALIGNNEWDESC;Do you wish to stop aligning towards $RECIPIENT$?;Voulez-vous arrêter de vous aligner sur $RECIPIENT$ ?;Möchten Sie die Ausrichtung an $RECIPIENT$ stoppen?;;¿Queréis dejar de alinearos con $RECIPIENT$?;;;;;;;;;x
STOPALIGNDESC;Stop Aligning towards faction.;Arrêter de s’aligner sur la faction.;Ausrichtung an Fraktion stoppen.;;Dejar de alinearse con la facción.;;;;;;;;;x
WEALIGNSTOP_SETUP;When we stop aligning to a faction leader;Quand nous arrêtons de nous aligner sur le leader d’une faction;Wenn wir die Ausrichtung an einen Fraktionsführer stoppen;;Cuando dejemos de alinearnos con un líder de facción;;;;;;;;;x
WEALIGNSTOP_HEADER;$foreign_minister$ reports;$foreign_minister$ rapporte que;$foreign_minister$ berichtet;;El $foreign_minister$ informa;;;;;;;;;x
WEALIGNSTOP_1;Diplomatic Influence;Influence diplomatique;Diplomatischer Einfluss;;Influencia diplomática;;;;;;;;;x
WEALIGNSTOP_2;$MONARCHTITLE$, we have stopped;$MONARCHTITLE$, nous avons arrêté;$MONARCHTITLE$, wir haben unsere;;$MONARCHTITLE$, hemos dejado de;;;;;;;;;x
WEALIGNSTOP_3;Aligning;de nous aligner;Ausrichtung;;alinearnos;;;;;;;;;x
WEALIGNSTOP_4;ourselves to;sur;an;;con;;;;;;;;;x
WEALIGNSTOP_5;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$ gestoppt;;$RECIPIENT$.;;;;;;;;;x
WEALIGNSTOP_6;*;*;*;;*;;;;;;;;;x,
WEALIGNSTOP_LOG;We stopped aligning towards $RECIPIENT$;Nous avons arrêté de nous aligner sur $RECIPIENT$;Wir haben unsere Ausrichtung an $RECIPIENT$ gestoppt;;Hemos dejado de alinearnos con $RECIPIENT$.;;;;;;;;;x
WEALIGNSTOP_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,
WEALIGNSTOP_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,
WEALIGNSTOP_BTN3;Goto;Aller à;Gehe zu;IdŸ do;Ir allí;Andare;Ugrás;Pøejít na;;;;;;x,
WEALIGNSTOP_MAP;*;*;*;*;*;*;*;;;;;;;x,
OTHERALIGNSTOP_SETUP;When a nation stops aligning towards another faction.;Quand une nation arrête de s’aligner sur une autre faction.;Wenn eine Nation ihre Ausrichtung an einer anderen Fraktion stoppt.;;Cuando una nación deje de alinearse con otra.;;;;;;;;;x
OTHERALIGNSTOP_HEADER;$minister_of_intelligence$ reports;$minister_of_intelligence$ rapporte que;$minister_of_intelligence$ berichtet:;;El $minister_of_intelligence$ informa;;;;;;;;;x,
