EVTNAME1210;Munich Agreement;;;;;;;;;;;;;;;;x
EVTDESC1210;Lidd has put forward a proposal that the German speaking parts of Czechoslovakia should join the Third Reich. Clearly he will not have any territorial ambitions after this.;;;;;;;;;;;;;;;;x
EVTOPTA1210;'Peace in Our Time!';;;;;;;;;;;;;;;;x
EVTOPTB1210;We will oppose this!;;;;;;;;;;;;;;;;x
EVTNAME1211;France will fight!;;;;;;;;;;;;;;;;x
EVTDESC1211;With the British decision to object to the Munich agreement, French leaders feel that they finally have the backing to oppose the German ambitions.;;;;;;;;;;;;;;;;x
EVTOPTA1211;France stands with its allies!;;;;;;;;;;;;;;;;x
EVTNAME2604;Stanley Baldwin Resigns;;;;;;;;;;;;;;;;x
EVTDESC2604;Having successfully negotiated the abdication crisis the elderly Prime Minister Stanley Baldwin felt it was time to retire. Three times Prime Minister during the age of mass Democracy in Great Britain, he was the commanding figure of the politics of the '20s and '30s. By 1937 he was approaching 70 and felt it was time for a younger man to take over. ;;;;;;;;;;;;;;;;x
EVTOPTA2604;Time to go to the Lords;;;;;;;;;;;;;;;;x
EVTNAME2605;The Norway Debate;;;;;;;;;;;;;;;;x
EVTDESC2605;Question put, 'That this House do now adjourn' The Ayes to the left 281, the Noes to the right 200.\n\nChamberlain had a commanding majority in the Commons, but with 41 Conservative MPs voting to bring down their own government and a further 60 refusing to support it, it was clear that Chamberlain’s support was crumbling. The sight of Admiral of the Fleet Sir R. Keyes, voting against his own government while in full uniform shook the moral of the Conservative back benchers. Only a new Prime Minister could command support in the House of Commons. It was down to either Churchill or Halifax to lead the country, but Halifax was a peer and this could cause problems in leading a government. Chamberlain called together Halifax, Churchill and the government chief whip David Margesson. Chamberlain asked whom the King should call as the next Prime Minster.;;;;;;;;;;;;;;;;x
EVTOPTA2605;Halifax Speaks First;;;;;;;;;;;;;;;;x
EVTOPTB2605;Churchill Speaks First;;;;;;;;;;;;;;;;x
EVTNAME2606;The King Calls Churchill;;;;;;;;;;;;;;;;x
EVTDESC2606;'I do not believe it is possible to effectively lead this government from the House of Lords', was Halifax’s reply.\n\nHalifax hit the nail on the head. With war such an expensive business and the Commons now holding a monopoly on taxation and spending, it would prove very difficult for a Prime Minister to govern from the Lords in the way that Lord Salisbury had. Chamberlain resigned himself to his favoured candidate not getting the post and went to the King and recommended Churchill.\n\nChurchill stood up in the House of Commons and told them, 'You ask, what is our policy? I will say: It is to wage war';;;;;;;;;;;;;;;;x
EVTOPTA2606;Winston is Back;;;;;;;;;;;;;;;;x
EVTNAME2607;The King Calls Halifax;;;;;;;;;;;;;;;;x
EVTDESC2607;'I do not believe it is possible to effectively lead this government from the House of Lords', was Churchill’s reply.\n\nHowever, Churchill had overplayed his hand. At this moment in time when the country needed unity, it was not acceptable to be seen to be too ambitious. Margesson left the meeting and the whispering campaign amongst the backbenchers began. Churchill simply could not be trusted. Chamberlain went to the King and recommended Halifax.\n\nHalifax stood up in the House of Lords and told them, 'My noble lords, you ask what is our policy? I will say this: To defend British interests';;;;;;;;;;;;;;;;x
EVTOPTA2607;Halifax is the Man;;;;;;;;;;;;;;;;x
UW_LOAD_PLANE_FAIL_LOW_ORG;Our paratroops have too low organization. They need to be at 95% of their maximum.;;;;;;;;;;;;;;;;x
