## COMMON ;;;;;;;;;;;;;;x
Operazione_C3_Unternhemen_Herkules_title;Operazione C3 - Unternehmen Herkules;;;;;;;;;;;;;x
Operazione_C3_Unternhemen_Herkules_desc;Launch the air and amphibious assault on Malta with the help of Germany!;;;;;;;;;;;;;x
Operazione_C3_title;Operazione C3;;;;;;;;;;;;;x
Operazione_C3_desc;Launch the air and amphibious assault on Malta!;;;;;;;;;;;;;x
Military_Academy_title;Military Academy;;;;;;;;;;;;;x
Military_Academy_desc;The Military Academy is needed to get access to the HQ technologies.;;;;;;;;;;;;;x
propaganda_decision_title;Launch heavy propanganda campaign.;;;;;;;;;;;;;x
propaganda_decision_desc;Launch a heavy propanganda campaign.;;;;;;;;;;;;;x
colonial_administration;Colonial Administration;;;;;;;;;;;;;x
Operation_Market_Garden_title;Operation Market Garden;;;;;;;;;;;;;x
Operation_Market_Garden_desc;Operation Market Garden was an Allied military operation fought in the Netherlands and Germany between September 17th and the 25th, 1944. It was the largest airborne operation of all time. The operation plan's strategic context required the seizure of bridges across the Maas (Meuse River) and two arms of the Rhine (the Waal and the Lower Rhine) as well as several smaller canals and tributaries. \nCrossing the Lower Rhine would allow the Allies to outflank the Siegfried Line and encircle the Ruhr, Germany's industrial heartland. It made large-scale use of airborne forces whose tactical objectives were to secure a series of bridges over the main rivers of  German-occupied Netherlands and allow a rapid advance by armoured units into Northern Germany.;;;;;;;;;;;;;x,,,,,,,,,,,,
Battle_of_the_Bulge_title;Battle of the Bulge;;;;;;;;;;;;;x
Battle_of_the_Bulge_desc;The Ardennes Offensive (16 December 1944 – 25 January 1945) was a major German offensive, launched through the densely forested Ardennes Mountains region of Belgium," France and Luxembourg. The Wehrmacht's code name for the offensive was "Unternehmen Wacht am Rhein" (Operation Watch on the Rhine)"," named after a German patriotic hymn. The German offensive was supported by several subordinate operations known as "Unternehmen Bodenplatte"," "Unternehmen Greif"," and "Unternehmen Währung".\n\nGermany’s planned goal for these operations was to split the British and American Allied line in half", capture Antwerp Belgium, and then proceed to encircle and destroy four Allied armies, forcing the Western Allies to negotiate a peace treaty in the Axis Powers’ favor.;;;;;;;;;;;;;x,,,,,,
Operation_Husky_title;Operation Husky;;;;;;;;;;;;;x
Operation_Husky_desc;The Allied invasion of Sicily, codenamed Operation Husky, was a major World War II campaign, in which the Allies took Sicily from the Axis. It was a large scale amphibious and airborne operation, followed by six weeks of land combat. \nHusky began on the night of July 9,1943, and ended August 17. Strategically, Husky achieved the goals set out for it by Allied planners. The Allies drove Axis air and naval forces from the island, the Mediterranean sea lanes were opened and Italian dictator Benito Mussolini was toppled from power. It opened the way to the Allied invasion of Italy.;;;;;;;;;;;;;x,,,,,,
Operation_Dragon_title;Operation Dragoon;;;;;;;;;;;;;x
Operation_Dragon_desc;Operation Dragoon was the Allied invasion of southern France on August 15,1944, six weeks after D-Day. The invasion was initiated by an amphibious assault by elements of the U.S. Seventh Army, with a follow-up force made up primarily of the French First Army. Despite being a large and complex military operation with well-executed amphibious and airborne components, Operation Dragoon still remains largely unknown to this day.;;;;;;;;;;;;;x,,,,,,,,,,
Italy_Campaign_title;Allied invasion of Italy;;;;;;;;;;;;;x
Italy_Campaign_desc;The Allied invasion of Italy, was the Allied landing on mainland Italy on September 3,1943, by General Harold Alexander's 15th Army Group (comprising Mark Clark's U.S. Fifth Army and Bernard Montgomery's British Eighth Army) during World War II. The operation followed the successful invasion of Sicily. The main invasion force landed around Salerno on the western coast in Operation Avalanche, while two supporting operations took place in Calabria (Operation Baytown) and Taranto (Operation Slapstick).;;;;;;;;;;;;;x,,,,,,,,,,
zDD_Battle_of_Stalingrad_title;Battle of Stalingrad;;;;;;;;;;;;;x
zDD_Battle_of_Stalingrad_desc;The Battle of Stalingrad was a major battle of World War II in which Nazi Germany and its allies fought the Soviet Union for control of the city of Stalingrad. The battle took place between 17 July 1942 and 2 February 1943, and is often cited as one of the turning points of the war. \nThe battle was the bloodiest in the history of warfare, with the upper estimates of combined casualties coming to nearly two million. The battle involved more participants than any other, and was marked by brutality and disregard for military and civilian casualties. The German offensive to take Stalingrad, the battle inside the city and the Soviet counter-offensive — which eventually trapped and destroyed the German 6th Army and other Axis forces around the city — was the first substantial German land defeat of World War II. The battle was arguably the most important turning point in not only the Eastern Front, but the War itself, as it marked the beginning of the Soviet counter-offensive that greatly contributed to the unconditional surrender of Nazi Germany around two and a half years later.;;;;;;;;;;;;;x,,,,,,,,
zDD-Defense_Atlantic_title;Atlantikwall;;;;;;;;;;;;;x
zDD-Defense_Atlantic_desc;Erwin Rommel proposed that the armoured formations be deployed close to the invasion beaches. von Schweppenburg argued that the Panzer formations should be concentrated in a central position around Paris and Rouen, and deployed en masse against the main Allied beachhead when this had been identified. \nWhen the matter was brought to Hitler, he gave an unworkable compromise solution, giving three tank divisions to Rommel, and allowing von Schweppenburg to scatter the other tanks across Northern France and the Netherlands. The other mechanized divisions capable of intervening in Normandy were retained under the direct control of the German Armed Forces HQ (OKW) and were initially denied to Rommel.;;;;;;;;;;;;;x,,,,,,,,,,
zDD-Defense_Italy_title;Defense of Italy;;;;;;;;;;;;;x
zDD-Defense_Italy_desc;German troops defend Italy against Allied invasion.;;;;;;;;;;;;;x
zDD-Defense_France_South_title;Defense of Southern France;;;;;;;;;;;;;x
zDD-Defense_France_South_desc;German troops defend Southern France.;;;;;;;;;;;;;x
Operation_Overlord_1_title;Operation Overlord;;;;;;;;;;;;;x
Operation_Overlord_1_desc;Operation Overlord was the code name for the invasion of Western Europe during World War II by Allied forces. The operation began on 6 June 1944 with the Normandy Landings (commonly known as D-Day), with an airborne assault followed by an amphibious assault. Nearly 160,000 troops crossed the English Channel on 6 June, and more than 3 million troops had landed by the end of August.;;;;;;;;;;;;;x,,,,,,,,,,,
Operation_Overlord_2_title;Operation Overlord Reinforcements;;;;;;;;;;;;;x
Operation_Overlord_2_desc;Operation Overlord was the code name for the invasion of Western Europe during World War II by Allied forces. The operation began on 6 June 1944 with the Normandy Landings (commonly known as D-Day) when an airborne assault preceded an amphibious assault. Nearly 160,000 troops crossed the English Channel on 6 June, and more than 3 million troops had landed by the end of August.;;;;;;;;;;;;;x,,,,,,,,,,,,
Operation_Overlord_3_title;Operation Overlord Reinforcements;;;;;;;;;;;;;x
Operation_Overlord_3_desc;Operation Overlord was the code name for the invasion of Western Europe during World War II by Allied forces. The operation began on 6 June 1944 with the Normandy Landings (commonly known as D-Day) when an airborne assault preceded an amphibious assault. Nearly 160,000 troops crossed the English Channel on 6 June, and more than 3 million troops had landed by the end of August.;;;;;;;;;;;;;x,,,,,,,,,,,,
Operation_Overlord_4_title;Operation Overlord Reinforcements;;;;;;;;;;;;;x
Operation_Overlord_4_desc;Operation Overlord was the code name for the invasion of Western Europe during World War II by Allied forces. The operation began on 6 June 1944 with the Normandy Landings (commonly known as D-Day) when an airborne assault preceded an amphibious assault. Nearly 160,000 troops crossed the English Channel on 6 June, and more than 3 million troops had landed by the end of August.;;;;;;;;;;;;;x,,,,,,,,,,,,
finland_barbarossa_decision_title;21st Norwegian Army;;;;;;;;;;;;;x
finland_barbarossa_decision_desc;The 21st Norwegian Army (Armeeoberkommando Norwegen) was one of the two army echelon headquarters controlling German troops in the far north of Norway and Finland during World War II. It was directly subordinate to OKH, the high command headquarters of the Wehrmacht. It was created from Group XXI in December 1940, and disbanded in December 1944 with its assets taken over by the 20th Mountain Army.;;;;;;;;;;;;;x,,,,,,,,,,,,
Indian_National_Army_title;Indian National Army;;;;;;;;;;;;;x
Indian_National_Army_desc;The Indian National Army (INA) or Azad Hind Fauj was an armed force formed by Indian nationalists in 1942 in Southeast Asia during World War II. The aim of the army was to overthrow the British Raj in colonial India, with Japanese assistance. Initially composed of Indian prisoners of war captured by Japan in her Malayan campaign and at Singapore, it later drew large numbers of volunteers from the Indian expatriate population in Malaya and Burma.;;;;;;;;;;;;;x,,,,,,,,,,,,
peace_with_com_china_title;Peace with Japan;;;;;;;;;;;;;x
peace_with_com_china_desc;We are not willing to defend the Kuomintang against the Japanese invasion, we want to stay neutral in this war.;;;;;;;;;;;;;x,,,,,,,,,,,,,
peace_with_xibei_china_title;Peace with Japan;;;;;;;;;;;;;x
peace_with_xibei_china_desc;We are not willing to defend Xibei against the Japanese invasion, we want to stay neutral in this war.;;;;;;;;;;;;;x,,,,,,,,,,,,,
Volkssturm_doctrine_decision_title;Volkssturm Doctrine;;;;;;;;;;;;;x
Volkssturm_doctrine_decision_desc;In order for these militia units to be effective, Hitler and Bormann counted not only on strength in numbers, but also in fanaticism. During the early stages of Volkssturm planning, it became apparent that if militia units lacked morale they would lack combat effectiveness. To achieve the envisioned fanaticism, Volkssturm units were placed under direct command of the local Nazi party, meaning local Gau- and Kreisleiters. \nThe new Volkssturm was also to become a nationwide organization, with Heinrich Himmler as Replacement Army Commander, responsible for armament and training.  Though normally under party control, Volkssturm units were placed under Wehrmacht command when engaging in action.;;;;;;;;;;;;;x,,,,,,
Bushido_doctrine_decision_title;Sejin Kun Doctrine;;;;;;;;;;;;;x
Bushido_doctrine_decision_desc;The Samurai of thirty years ago had behind him a thousand years of training in the laws of honor, obedience, duty, and self-sacrifice..... It was not needed to create or establish them. As a child he had but to be instructed, as indeed he was from his earliest years, in the etiquette of self-immolation. The fine instinct of honor demanded it was in the very blood...;;;;;;;;;;;;;x,,,,,,,,,
benefit_from_lend_lease_decision_title;Benefit from lend lease;;;;;;;;;;;;;x
benefit_from_lend_lease_decision_desc;Building all those trucks, tanks and weapons is a good thing for our production chains. Our factories are able to build war equipment much more faster now!;;;;;;;;;;;;;x,,,,,,,,,,,,,
## GER ;;;;;;;;;;;;;;x
czech_annexation_march_39_title;The End of Czechoslovakia - Czechs annexed;;;;;;;;;;;;;x
czech_annexation_march_39_desc;After the swallowing of the Sudetenland, Hitler used a small group of Slovakian patriots around Tiso, more or less forcing them to proclaim an independent Slovakia. At the same time German troops started to move across the Czechoslovakian border on the pretext of ‘protecting’ the Slovak people. Swiftly demanding the Czech president come to Germany to discuss recent ‘Czech problems’ Hitler managed to isolate and threaten the Czech leader into submission. A few days later the German Army had full control of the former Czechoslovakia.;;;;;;;;;;;;;x,,,,,,,,,,,,
leaders_will_appear_later_title;German leaders will appear later ;;;;;;;;;;;;;x
leaders_will_appear_later_desc;In order to avoid the auto-assign plague, the german leaders will be available the 2nd of January instead of the 1st. (If you want to keep the auto-assign, don't change anything and it will work.) Now you can manually disable auto-assign and place the leaders as you want.;;;;;;;;;;;;;x,,,,,,,,,,,,
Gotterdammerung_decision_title;Totaler Krieg - Götterdämmerung;;;;;;;;;;;;;x
Gotterdammerung_decision_desc;[This decision will give you +500 manpower, -10 National Unity, the 'Volkssturm doctrine' (+5 morale on all units, +25% manpower daily bonus and -25% IC) and 'Volkssturm Militia' techs (ability to create cheap militia that are good in defence)];;;;;;;;;;;;;x,,,,,,,,,,,
Weserubung_decision_title;Op.Weserubung ;;;;;;;;;;;;;x
Weserubung_decision_desc;Operation Weserubung was the code name for Nazi Germany's assault on Denmark and Norway during World War II and the opening operation of the Norwegian Campaign.  In the early morning of 9 April 1940 – Wesertag (Weser Day) – Germany invaded Denmark and Norway, ostensibly as a preventive manoeuvre against a planned, and openly discussed, Franco-British occupation of both these countries. \nAfter the invasions, envoys of the Germans informed the governments of Denmark and Norway that the Wehrmacht had come to protect the countries' neutrality against Franco-British aggression. Significant differences in geography, location and climate between the two countries made the actual military operations very dissimilar.;;;;;;;;;;;;;x,,,,,,,,,
Weserubung_denmark_decision_title;Op.Weserubung - Denmark;;;;;;;;;;;;;x
Weserubung_denmark_decision_desc;Operation Weserubung was the code name for Nazi Germany's assault on Denmark and Norway during World War II and the opening operation of the Norwegian Campaign.  In the early morning of 9 April 1940 – Wesertag (Weser Day) – Germany invaded Denmark and Norway, ostensibly as a preventive manoeuvre against a planned, and openly discussed, Franco-British occupation of both these countries. \nAfter the invasions, envoys of the Germans informed the governments of Denmark and Norway that the Wehrmacht had come to protect the countries' neutrality against Franco-British aggression. Significant differences in geography, location and climate between the two countries made the actual military operations very dissimilar.;;;;;;;;;;;;;x,,,,,,,,,
Weserubung_denmark_surrender_title;Surrender to Germany;;;;;;;;;;;;;x
Weserubung_denmark_surrender_desc;Denmark can't stand a fight against the Wehrmacht, the Danish foreign minister is sent to Berlin to negotiate surrender terms.;;;;;;;;;;;;;x,,,,,,,,,,,,,
Fall_Gelb_decision_title;Op.Fall Gelb - Low Countries Benelux;;;;;;;;;;;;;x
Fall_Gelb_decision_desc;The German invasion of France and the Low Countries, executed from 10 May 1940, which ended the so-called Phoney War (or Sitzkrieg). The battle consisted of two main operations. In the first, Fall Gelb (Case Yellow), German armoured units pushed through the Ardennes, to cut off and surround the Allied units that had advanced into Belgium. The British Expeditionary Force (BEF) and many French soldiers were however evacuated from Dunkirk in Operation Dynamo. In the second operation, Fall Rot (Case Red), executed from 5 June, German forces outflanked the Maginot Line to attack the larger territory of France.;;;;;;;;;;;;;x,,,,,,
hungary_joins_axis_decision_title;Join the Axis;;;;;;;;;;;;;x
hungary_joins_axis_decision_desc;Hungary joins the Axis.;;;;;;;;;;;;;x
romania_joins_axis_decision_title;Join the Axis;;;;;;;;;;;;;x
romania_joins_axis_decision_desc;Romania joins the Axis.;;;;;;;;;;;;;x
Operation_Marita_decision_title;Op. Marita - Rescue the Italians!;;;;;;;;;;;;;x
Operation_Marita_decision_desc;The Battle of Greece is generally regarded as a continuation of the Greco-Italian War, which began when Italian troops invaded Greece on October 28, 1940. Within weeks the Italians were driven from Greece and Greek forces pushed on to occupy much of southern Albania. In March 1941, a major Italian counterattack failed, and Germany was forced to come to the aid of its ally. Operation Marita began on April 6,1941, with German troops invading Greece through Yugoslavia and Bulgaria in an effort to secure its southern flank.;;;;;;;;;;;;;x,,,,,,,,
bulgaria_joins_axis_decision_title;Join the Axis;;;;;;;;;;;;;x
bulgaria_joins_axis_decision_desc;Bulgaria joins the Axis.;;;;;;;;;;;;;x
alliance_with_finland_decision_title;Propose an alliance to Finland;;;;;;;;;;;;;x
alliance_with_finland_decision_desc;Preparation for Barbarossa. An alliance with Finland opens the gates of Leningrad.;;;;;;;;;;;;;x
operation_barbarossa_decision_title;Operation Barbarossa;;;;;;;;;;;;;x
operation_barbarossa_decision_desc;Operation Barbarossa (German: Unternehmen Barbarossa) was the code name for Nazi Germany's massive invasion of the Soviet Union during World War II that began on 22 June 1941. Over 4.5 million troops of the Axis powers invaded the USSR along a 2,900 km (1,800 mile) front. Planning for Operation Barbarossa started on 18 December 1940. The secret preparations and the military operation itself lasted almost a year, from spring 1940 to winter 1941.;;;;;;;;;;;;;x,,,,,,,,,,,
fin_barbarossa_decision_title;Barbarossa - Support the Axis;;;;;;;;;;;;;x
fin_barbarossa_decision_desc;Operation Barbarossa (German: Unternehmen Barbarossa) was the code name for Nazi Germany's invasion of the Soviet Union during World War II that began on 22 June 1941. Over 4.5 million troops of the Axis powers invaded the USSR along a 2,900 km (1,800 mile) front. Planning for Operation Barbarossa started on 18 December 1940. The secret preparations and the military operation itself lasted almost a year, from spring 1940 to winter 1941.;;;;;;;;;;;;;x,,,,,,,,,,,
atlantikwall_decision_title;Build the Atlantikwall;;;;;;;;;;;;;x
atlantikwall_decision_desc;If you pick this decision you will be able to build bunkers at your atlantic ports (Norway to France). The Atlantikwall was an extensive system of coastal fortifications built by the German Third Reich from 1942 until 1944 during World War II along the western coast of Europe to defend against an anticipated Allied invasion of the mainland from Britain.;;;;;;;;;;;;;x
