# Events;;;;;;;;;;;;;;x
EVTNAME27000;Territory lost!;;;;;;;;;;;;;
EVTOPTA27000;They will pay for this;;;;;;;;;;;;;
EVTDESC27000;The enemy is creating puppets in our territory!;;;;;;;;;;;;;
EVTNAME27068;Creation of Belgium Government;;;;;;;;;;;;;x
EVTDESC27068;We can make two puppets from Belgium : Flanders and Wallonia.\nIf you choose yes, you will be able to puppet those countries via the diplomatic screen. If you don't, you won't be able to puppet them until the total annexation of Belgium.;;;;;;;;;;;;;x
EVTOPTA27068;Ok (check the diplomatic screen, you need money to proceed);;;;;;;;;;;;;x
EVTOPTB27068;I don't want to (never fire again);;;;;;;;;;;;;x
EVTNAME27069;Puppet Great Britain?;;;;;;;;;;;;;x
EVTDESC27069;Since you are controlling most of Great Britain, you can create some puppet states from it: England, Scotland, North Ireland and Wales.\nIf you choose yes, you will be able to puppet those countries via the diplomatic screen. If you don't, you won't be able to puppet them until the total annexation of United Kingdom.;;;;;;;;;;;;;x
# Decisions;;;;;;;;;;;;;;x
only_controlled_provinces_puertorico_title;Puppet Puerto Rico;;;;;;;;;;;;;x
only_controlled_provinces_puertorico_desc;Make Puerto Rico Puppet;;;;;;;;;;;;;x
only_controlled_provinces_belarus_title;Puppet Belarus;;;;;;;;;;;;;x
only_controlled_provinces_belarus_desc;Make Belarus a puppet;;;;;;;;;;;;;x
only_controlled_provinces_andorra_title;Puppet Andorra;;;;;;;;;;;;;x
only_controlled_provinces_andorra_desc;Make Andorra a puppet;;;;;;;;;;;;;x
only_controlled_provinces_corsica_title;Puppet Corsica;;;;;;;;;;;;;x
only_controlled_provinces_corsica_desc;Make Corsica a puppet;;;;;;;;;;;;;x
only_controlled_provinces_madagascar_title;Puppet Madagascar;;;;;;;;;;;;;x
only_controlled_provinces_madagascar_desc;Make Madagascar a puppet;;;;;;;;;;;;;x
only_controlled_provinces_aland_title;Puppet Åland;;;;;;;;;;;;;x
only_controlled_provinces_aland_desc;Make Åland aPpppet;;;;;;;;;;;;;x
only_controlled_provinces_alsacelorraine_title;Puppet Alsace-Lorraine;;;;;;;;;;;;;x
only_controlled_provinces_alsacelorraine_desc;Make Alsace-Lorraine a puppet;;;;;;;;;;;;;x
only_controlled_provinces_asturias_title;Puppet Asturias;;;;;;;;;;;;;x
only_controlled_provinces_asturias_desc;Make Asturias a puppet;;;;;;;;;;;;;x
only_controlled_provinces_galicia_title;Puppet Galicia;;;;;;;;;;;;;x
only_controlled_provinces_galicia_desc;Make Galicia a puppet;;;;;;;;;;;;;x
only_controlled_provinces_kuwait_title;Puppet Kuwait;;;;;;;;;;;;;x
only_controlled_provinces_kuwait_desc;Make Kuwait a puppet;;;;;;;;;;;;;x
only_controlled_provinces_euskadi_title;Puppet Euskadi;;;;;;;;;;;;;x
only_controlled_provinces_euskadi_desc;Make Euskadi a puppet;;;;;;;;;;;;;x
only_controlled_provinces_andalusia_title;Puppet Andalusia;;;;;;;;;;;;;x
only_controlled_provinces_andalusia_desc;Make Andalusia a puppet;;;;;;;;;;;;;x
only_controlled_provinces_estonia_title;Puppet Estonia;;;;;;;;;;;;;x
only_controlled_provinces_estonia_desc;Make Estonia a puppet;;;;;;;;;;;;;x
only_controlled_provinces_latvia_title;Puppet Latvia;;;;;;;;;;;;;x
only_controlled_provinces_latvia_desc;Make Latvia a puppet;;;;;;;;;;;;;x
