MODEL_TAG;Model;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Unit Model Names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
## amph_armour_brigade #;;;;;;;;;;;;;;x
RKM_amph_armour_brigade_0;T-37 Amph.Tank;;;;;;;;;;;;;x
RKM_amph_armour_brigade_1;T-37 Amph.Tank;;;;;;;;;;;;;x
RKM_amph_armour_brigade_2;T-38 Amph.Tank;;;;;;;;;;;;;x
RKM_amph_armour_brigade_3;T-38 Amph.Tank;;;;;;;;;;;;;x
RKM_amph_armour_brigade_4;T-40 Amph.Tank;;;;;;;;;;;;;x
RKM_amph_armour_brigade_5;T-40 Amph.Tank;;;;;;;;;;;;;x
RKM_amph_armour_brigade_6;T-40 Amph.Tank;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
UKR_amph_armour_brigade_0;T-37 Amph.Tank;;;;;;;;;;;;;x
UKR_amph_armour_brigade_1;T-37 Amph.Tank;;;;;;;;;;;;;x
UKR_amph_armour_brigade_2;T-38 Amph.Tank;;;;;;;;;;;;;x
UKR_amph_armour_brigade_3;T-38 Amph.Tank;;;;;;;;;;;;;x
UKR_amph_armour_brigade_4;T-40 Amph.Tank;;;;;;;;;;;;;x
UKR_amph_armour_brigade_5;T-40 Amph.Tank;;;;;;;;;;;;;x
UKR_amph_armour_brigade_6;T-40 Amph.Tank;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
RKM_assault_gun_brigade_0;KV-2;;;;;;;;;;;;;x
RKM_assault_gun_brigade_1;KV-2;;;;;;;;;;;;;x
RKM_assault_gun_brigade_2;KV-2;;;;;;;;;;;;;x
RKM_assault_gun_brigade_3;SU-76;;;;;;;;;;;;;x
RKM_assault_gun_brigade_4;SU-122;;;;;;;;;;;;;x
RKM_assault_gun_brigade_5;SU-152;;;;;;;;;;;;;x
RKM_assault_gun_brigade_6;ISU-122;;;;;;;;;;;;;x
RKM_assault_gun_brigade_7;ISU-152;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
UKR_assault_gun_brigade_0;KV-2;;;;;;;;;;;;;x
UKR_assault_gun_brigade_1;KV-2;;;;;;;;;;;;;x
UKR_assault_gun_brigade_2;KV-2;;;;;;;;;;;;;x
UKR_assault_gun_brigade_3;SU-76;;;;;;;;;;;;;x
UKR_assault_gun_brigade_4;SU-122;;;;;;;;;;;;;x
UKR_assault_gun_brigade_5;SU-152;;;;;;;;;;;;;x
UKR_assault_gun_brigade_6;ISU-122;;;;;;;;;;;;;x
UKR_assault_gun_brigade_7;ISU-152;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
RKM_int_cag_0;Polikarpov I-15;;;;;;;;;;;;;x
RKM_int_cag_1;Polikarpov I-16;;;;;;;;;;;;;x
RKM_int_cag_2;Lavochkin LaGG-3;;;;;;;;;;;;;x
RKM_int_cag_3;Yakolev Yak-7;;;;;;;;;;;;;x
RKM_int_cag_4;Yakolev Yak-3;;;;;;;;;;;;;x
RKM_int_cag_5;Yakolev Yak-15;;;;;;;;;;;;;x
RKM_int_cag_6;Yakovlev Yak-23;;;;;;;;;;;;;x
RKM_int_cag_7;Sukhoi Su-9;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
UKR_int_cag_0;Polikarpov I-15;;;;;;;;;;;;;x
UKR_int_cag_1;Polikarpov I-16;;;;;;;;;;;;;x
UKR_int_cag_2;Lavochkin LaGG-3;;;;;;;;;;;;;x
UKR_int_cag_3;Yakolev Yak-7;;;;;;;;;;;;;x
UKR_int_cag_4;Yakolev Yak-3;;;;;;;;;;;;;x
UKR_int_cag_5;Yakolev Yak-15;;;;;;;;;;;;;x
UKR_int_cag_6;Yakovlev Yak-23;;;;;;;;;;;;;x
UKR_int_cag_7;Sukhoi Su-9;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
RKM_siege_artillery_brigade_0;Br-17 210mm;;;;;;;;;;;;;x
RKM_siege_artillery_brigade_1;Br-17 210mm;;;;;;;;;;;;;x
RKM_siege_artillery_brigade_2;Br-17 210mm;;;;;;;;;;;;;x
RKM_siege_artillery_brigade_3;Br-18 305mm;;;;;;;;;;;;;x
RKM_siege_artillery_brigade_4;Br-18 305mm;;;;;;;;;;;;;x
RKM_siege_artillery_brigade_5;Br-18 305mm;;;;;;;;;;;;;x
RKM_siege_artillery_brigade_6;Br-18 305mm;;;;;;;;;;;;;x
RKM_siege_artillery_brigade_7;Br-18 305mm;;;;;;;;;;;;;x
RKM_siege_artillery_brigade_8;Br-18 305mm;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
UKR_siege_artillery_brigade_0;Br-17 210mm;;;;;;;;;;;;;x
UKR_siege_artillery_brigade_1;Br-17 210mm;;;;;;;;;;;;;x
UKR_siege_artillery_brigade_2;Br-17 210mm;;;;;;;;;;;;;x
UKR_siege_artillery_brigade_3;Br-18 305mm;;;;;;;;;;;;;x
UKR_siege_artillery_brigade_4;Br-18 305mm;;;;;;;;;;;;;x
UKR_siege_artillery_brigade_5;Br-18 305mm;;;;;;;;;;;;;x
UKR_siege_artillery_brigade_6;Br-18 305mm;;;;;;;;;;;;;x
UKR_siege_artillery_brigade_7;Br-18 305mm;;;;;;;;;;;;;x
UKR_siege_artillery_brigade_8;Br-18 305mm;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
RKM_sp_anti_air_brigade_0;ZSU-37;;;;;;;;;;;;;x
RKM_sp_anti_air_brigade_1;ZSU-37;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
UKR_sp_anti_air_brigade_0;ZSU-37;;;;;;;;;;;;;x
UKR_sp_anti_air_brigade_1;ZSU-37;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
AST_twin_engine_fighters_4;de Havilland Mosquito F Mk II;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
RKM_twin_engine_fighters_0;Petlyakov VI-100;;;;;;;;;;;;;x
RKM_twin_engine_fighters_1;Petlyakov Pe-3;;;;;;;;;;;;;x
RKM_twin_engine_fighters_2;Petlyakov Pe-3;;;;;;;;;;;;;x
RKM_twin_engine_fighters_3;Mikoyan-Gurevich DIS;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
UKR_twin_engine_fighters_0;Petlyakov VI-100;;;;;;;;;;;;;x
UKR_twin_engine_fighters_1;Petlyakov Pe-3;;;;;;;;;;;;;x
UKR_twin_engine_fighters_2;Petlyakov Pe-3;;;;;;;;;;;;;x
UKR_twin_engine_fighters_3;Mikoyan-Gurevich DIS;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
CAN_commando_brigade_0;Black Devils;;;;;;;;;;;;;x
CAN_commando_brigade_1;Black Devils;;;;;;;;;;;;;x
CAN_commando_brigade_2;Black Devils;;;;;;;;;;;;;x
CAN_commando_brigade_3;Black Devils;;;;;;;;;;;;;x
CAN_commando_brigade_4;Black Devils;;;;;;;;;;;;;x
CAN_commando_brigade_5;Black Devils;;;;;;;;;;;;;x
CAN_commando_brigade_6;Black Devils;;;;;;;;;;;;;x
# RKM MOTORIZED ARTILLERY;;;;;;;;;;;;;;x
RKM_medium_artillery_brigade_0;122mm Gaubitsa obr. 1907/37;;;;;;;;;;;;;x
RKM_medium_artillery_brigade_1;122mm Gaubitsa obr. 1910/30;;;;;;;;;;;;;x
RKM_medium_artillery_brigade_2;122mm Pushka obr. 1931/37;;;;;;;;;;;;;x
RKM_medium_artillery_brigade_3;122mm Gaubitsa obr. 1938;;;;;;;;;;;;;x
RKM_medium_artillery_brigade_4;152mm Pushka obr. 1910/30;;;;;;;;;;;;;x
RKM_medium_artillery_brigade_5;152mm Pushka obr. 1910/34;;;;;;;;;;;;;x
RKM_medium_artillery_brigade_6;152mm GP obr. 1937;;;;;;;;;;;;;x
RKM_medium_artillery_brigade_7;152mm Gaubitsa obr. 1938;;;;;;;;;;;;;x
RKM_medium_artillery_brigade_8;203mm Gaubitsa obr. 1931;;;;;;;;;;;;;x
# UKR MOTORIZED ARTILLERY;;;;;;;;;;;;;;x
UKR_medium_artillery_brigade_0;122mm Gaubitsa obr. 1907/37;;;;;;;;;;;;;x
UKR_medium_artillery_brigade_1;122mm Gaubitsa obr. 1910/30;;;;;;;;;;;;;x
UKR_medium_artillery_brigade_2;122mm Pushka obr. 1931/37;;;;;;;;;;;;;x
UKR_medium_artillery_brigade_3;122mm Gaubitsa obr. 1938;;;;;;;;;;;;;x
UKR_medium_artillery_brigade_4;152mm Pushka obr. 1910/30;;;;;;;;;;;;;x
UKR_medium_artillery_brigade_5;152mm Pushka obr. 1910/34;;;;;;;;;;;;;x
UKR_medium_artillery_brigade_6;152mm GP obr. 1937;;;;;;;;;;;;;x
UKR_medium_artillery_brigade_7;152mm Gaubitsa obr. 1938;;;;;;;;;;;;;x
UKR_medium_artillery_brigade_8;203mm Gaubitsa obr. 1931;;;;;;;;;;;;;x
# MOTORIZED AT;;;;;;;;;;;;;;x
RKM_heavy_anti_tank_brigade_0;37mm PTP obr.30;;;;;;;;;;;;;x
RKM_heavy_anti_tank_brigade_1;45mm PTP obr.42;;;;;;;;;;;;;x
RKM_heavy_anti_tank_brigade_2;76.2mm ZiS3E;;;;;;;;;;;;;x
RKM_heavy_anti_tank_brigade_3;85mm D-44;;;;;;;;;;;;;x
RKM_heavy_anti_tank_brigade_4;100mm D-10T;;;;;;;;;;;;;x
# MOTORIZED AT;;;;;;;;;;;;;;x
UKR_heavy_anti_tank_brigade_0;37mm PTP obr.30;;;;;;;;;;;;;x
UKR_heavy_anti_tank_brigade_1;45mm PTP obr.42;;;;;;;;;;;;;x
UKR_heavy_anti_tank_brigade_2;76.2mm ZiS3E;;;;;;;;;;;;;x
UKR_heavy_anti_tank_brigade_3;85mm D-44;;;;;;;;;;;;;x
UKR_heavy_anti_tank_brigade_4;100mm D-10T;;;;;;;;;;;;;x
# INFANTRY TANKS;;;;;;;;;;;;;;x
RKM_infantry_tank_brigade_0;T-26;;;;;;;;;;;;;x
RKM_infantry_tank_brigade_1;T-35;;;;;;;;;;;;;x
RKM_infantry_tank_brigade_2;KV-8;;;;;;;;;;;;;x
RKM_infantry_tank_brigade_3;T-100 Infantry tank;;;;;;;;;;;;;x
# INFANTRY TANKS;;;;;;;;;;;;;;x
UKR_infantry_tank_brigade_0;T-26;;;;;;;;;;;;;x
UKR_infantry_tank_brigade_1;T-35;;;;;;;;;;;;;x
UKR_infantry_tank_brigade_2;KV-8;;;;;;;;;;;;;x
UKR_infantry_tank_brigade_3;T-100 Infantry tank;;;;;;;;;;;;;x
# MEDIUM TANK DESTROYER;;;;;;;;;;;;;;x
RKM_medium_tank_destroyer_brigade_0;SU-85;;;;;;;;;;;;;x
RKM_medium_tank_destroyer_brigade_1;SU-85;;;;;;;;;;;;;x
RKM_medium_tank_destroyer_brigade_2;SU-85;;;;;;;;;;;;;x
RKM_medium_tank_destroyer_brigade_3;SU-100;;;;;;;;;;;;;x
RKM_medium_tank_destroyer_brigade_4;SU-100;;;;;;;;;;;;;x
RKM_medium_tank_destroyer_brigade_5;ISU-130;;;;;;;;;;;;;x
# MEDIUM TANK DESTROYER;;;;;;;;;;;;;;x
UKR_medium_tank_destroyer_brigade_0;SU-85;;;;;;;;;;;;;x
UKR_medium_tank_destroyer_brigade_1;SU-85;;;;;;;;;;;;;x
UKR_medium_tank_destroyer_brigade_2;SU-85;;;;;;;;;;;;;x
UKR_medium_tank_destroyer_brigade_3;SU-100;;;;;;;;;;;;;x
UKR_medium_tank_destroyer_brigade_4;SU-100;;;;;;;;;;;;;x
UKR_medium_tank_destroyer_brigade_5;ISU-130;;;;;;;;;;;;;x
# CAPTURED_ARMOR_BRIGADE;;;;;;;;;;;;;;x
captured_armor_brigade_0;Renault FT-17;;;;;;;;;;;;;x
captured_armor_brigade_1;FCM-24;;;;;;;;;;;;;x
captured_armor_brigade_2;FCM-36;;;;;;;;;;;;;x
captured_armor_brigade_3;Renault R-35;;;;;;;;;;;;;x
captured_armor_brigade_4;PzKpfw.35(t);;;;;;;;;;;;;x
