##################################################################
# BATTLESHIPS
##################################################################

battleship.0 = {
    battleship_class = 0
	battleship_technology = 0
    capitalship_armament = 0
    capitalship_secondary = 0
    capital_ship_engine = 0
    capital_ship_boilers = 0
    capital_ship_turbines = 0
    capital_ship_screws_optimisation = 0
    capital_ship_rudder_optimisation = 0
    capital_ship_hull_shape_optimisation = 0
    battleship_armour_thickness = 0
    capital_ship_vertical_protection = 0
    capital_ship_horizontal_protection = 0
    capital_ship_torpedo_protection = 0
    capital_ship_bulkheads_thickness = 0
    fast_battleship = 0
    capital_ship_heavy_anti_air_artillery = 0
}
battleship.1 = {
    battleship_class = 0
	battleship_technology = 1
    capitalship_armament = 1
    capitalship_secondary = 1
    capital_ship_engine = 1
    capital_ship_boilers = 1
    capital_ship_turbines = 1
    capital_ship_screws_optimisation = 1
    capital_ship_rudder_optimisation = 1
    capital_ship_hull_shape_optimisation = 1
    battleship_armour_thickness = 1
    capital_ship_vertical_protection = 1
    capital_ship_horizontal_protection = 1
    capital_ship_torpedo_protection = 1
    capital_ship_bulkheads_thickness = 1
    fast_battleship = 0
    capital_ship_heavy_anti_air_artillery = 0
}
battleship.2 = {
    battleship_class = 0
	battleship_technology = 2
    capitalship_armament = 2
    capitalship_secondary = 2
    capital_ship_engine = 2
    capital_ship_boilers = 2
    capital_ship_turbines = 2
    capital_ship_screws_optimisation = 2
    capital_ship_rudder_optimisation = 2
    capital_ship_hull_shape_optimisation = 2
    battleship_armour_thickness = 2
    capital_ship_vertical_protection = 2
    capital_ship_horizontal_protection = 2
    capital_ship_torpedo_protection = 2
    capital_ship_bulkheads_thickness = 2
    fast_battleship = 0
    capital_ship_heavy_anti_air_artillery = 0
}
battleship.3 = {
    battleship_class = 0
	battleship_technology = 3
    capitalship_armament = 3
    capitalship_secondary = 3
    capital_ship_engine = 3
    capital_ship_boilers = 3
    capital_ship_turbines = 3
    capital_ship_screws_optimisation = 3
    capital_ship_rudder_optimisation = 3
    capital_ship_hull_shape_optimisation = 3
    battleship_armour_thickness = 3
    capital_ship_vertical_protection = 3
    capital_ship_horizontal_protection = 3
    capital_ship_torpedo_protection = 3
    capital_ship_bulkheads_thickness = 3
    fast_battleship = 0
    capital_ship_heavy_anti_air_artillery = 0
}
battleship.4 = {
    battleship_class = 1
	battleship_technology = 3
    capitalship_armament = 4
    capitalship_secondary = 4
    capital_ship_engine = 4
    capital_ship_boilers = 4
    capital_ship_turbines = 4
    capital_ship_screws_optimisation = 4
    capital_ship_rudder_optimisation = 4
    capital_ship_hull_shape_optimisation = 4
    battleship_armour_thickness = 4
    capital_ship_vertical_protection = 4
    capital_ship_horizontal_protection = 4
    capital_ship_torpedo_protection = 4
    capital_ship_bulkheads_thickness = 4
    fast_battleship = 0
    capital_ship_heavy_anti_air_artillery = 0
}
battleship.5 = {
    battleship_class = 2
	battleship_technology = 3
    capitalship_armament = 5
    capitalship_secondary = 5
    capital_ship_engine = 5
    capital_ship_boilers = 5
    capital_ship_turbines = 5
    capital_ship_screws_optimisation = 5
    capital_ship_rudder_optimisation = 5
    capital_ship_hull_shape_optimisation = 5
    battleship_armour_thickness = 5
    capital_ship_vertical_protection = 5
    capital_ship_horizontal_protection = 5
    capital_ship_torpedo_protection = 5
    capital_ship_bulkheads_thickness = 5
    fast_battleship = 0
    capital_ship_heavy_anti_air_artillery = 0
}
battleship.6 = {
    battleship_class = 3
	battleship_technology = 3
    capitalship_armament = 6
    capitalship_secondary = 6
    capital_ship_engine = 6
    capital_ship_boilers = 6
    capital_ship_turbines = 6
    capital_ship_screws_optimisation = 6
    capital_ship_rudder_optimisation = 6
