super_heavy_battleship.0 = {
	capitalship_armament = 4
	battleship_engine = 3
	battleship_armour = 3
	largewarship_radar = 0
	battleship_antiaircraft = 0
	heavycruiser_antiaircraft = 0
	lightcruiser_antiaircraft = 0
	fire_control_computer = 0
	floatplane_dev = 0
	officer_recruitment_program = 0
	Ship_Building_Technologies = 0
	naval_underway_replenishment = 0
	battleship_crew_training = 0
	battlefleet_concentration_doctrine = 0
	spotting = 0
	AAA_control_computer = 0
	capitalship_secondary = 0
	big_ship_radar = 0
}
super_heavy_battleship.1 = {
	capitalship_armament = 5
	battleship_engine = 4
	battleship_armour = 4
	largewarship_radar = 0
	battleship_antiaircraft = 0
	heavycruiser_antiaircraft = 0
	lightcruiser_antiaircraft = 0
	fire_control_computer = 0
	floatplane_dev = 0
	officer_recruitment_program = 0
	Ship_Building_Technologies = 0
	naval_underway_replenishment = 0
	battleship_crew_training = 0
	battlefleet_concentration_doctrine = 0
	spotting = 0
	AAA_control_computer = 0
	capitalship_secondary = 0
	big_ship_radar = 0
}
super_heavy_battleship.2 = {
	capitalship_armament = 6
	battleship_engine = 5
	battleship_armour = 5
	largewarship_radar = 0
	battleship_antiaircraft = 0
	heavycruiser_antiaircraft = 0
	lightcruiser_antiaircraft = 0
	fire_control_computer = 0
	floatplane_dev = 0
	officer_recruitment_program = 0
	Ship_Building_Technologies = 0
	naval_underway_replenishment = 0
	battleship_crew_training = 0
	battlefleet_concentration_doctrine = 0
	spotting = 0
	AAA_control_computer = 0
	capitalship_secondary = 0
	big_ship_radar = 0
}
super_heavy_battleship.3 = {
	capitalship_armament = 7
	battleship_engine = 6
	battleship_armour = 6
	largewarship_radar = 0
	battleship_antiaircraft = 0
	heavycruiser_antiaircraft = 0
	lightcruiser_antiaircraft = 0
	fire_control_computer = 0
	floatplane_dev = 0
	officer_recruitment_program = 0
	Ship_Building_Technologies = 0
	naval_underway_replenishment = 0
	battleship_crew_training = 0
	battlefleet_concentration_doctrine = 0
	spotting = 0
	AAA_control_computer = 0
	capitalship_secondary = 0
	big_ship_radar = 0
}
### Iron Duke-class ###
battleship.0 = {
	capitalship_armament = 0 
	capitalship_secondary = 1
	battleship_engine = 0 
